address,total_holdings
0xc2a12bce5027eb4b19188504d1331b10dd236a4b,1653044892153977350499347
0xc5d986b1062940d66dce7ccbdd5ed2edb5c8b629,2424053527962096486825500
0xc872d7f93cb9750c1a689163a6392290b091072c,5000000000000000000000000
0xc8fe2a7e714cb2dabee571112d5384518883f20e,6280622836232582658320842
0xcb3b2dec6844e614034a9edd853e0d972a18dbea,412351837803083070918602
0xd04ce7cc91d1256e86b7285c78410fc66e9c4557,3750000000000000000000000
0xd051c3f7143b6bcf4b8fdf85443daccb686695be,2500676359391006401685817
0xd18581cfce4d50c732d518852a39d98ca210adaf,1000000000000000000000000
0xd33cce1423c60216590564f50e3a810a05669afb,3750000000000000000000000
0xd8623b1e0b07a5dc1d28b80ff70b1ff196875873,12028270379381238208095944
0xdad376f73a855ff53ff70b6a6881d6efb02c5e3f,14911975465426789809055862
0xdb93342558502d4f522e774eac55d71bff8e6130,589367589503232459193783
0xdd4021bc586ab5a47b500e33e8f16686b3ec60d7,3750000000000000000000000
0xdec3035cf641c64876770e1fddd003237a6a95a4,9369713238503247083908763
0xdeec79b884f0b1eca7e00878cf65dbf9a14da851,3518450493870364518360531
0xe7173b08d556ceeab45e315c893f16bbb5040923,701442044674120548267625
0xea65d45e5999a2bfe01a23df5a40fa5a407db09a,20164040102296360597107590
0xea6c1c1141bc468944e0812d8cc42d34a8d77998,5000000000000000000000000
0xeee240623c8c777c1134f2e8dbb0f7ea3da3d2e4,2671977004696767649682634
0xf5677b22454dee978b2eb908d6a17923f5658a79,50631673796634101436213603
0xf57e04d7f891ae4e5a4dea6cd9d23c7e2b2a6db2,3298750312500000000000000
0xf777094ba238ba665c7b2cb44f70c9d11a72ac55,1105399892484834278090175
0xf81c87fb76f3acf458ebd29df60c92f4b7ce8db3,11000000000000000000000000
0xf84f39bae21306277da76e900d7f3e795320c031,4239158247080396289472103
0xf8b63ac6fa63defaaf0990f8a89ce89d5ef3d309,211973830912441384655060
0xf974e1388ed613000febdbfda6f42a830a24f1aa,5179059203065148503419869
0xf9b48051d6441b32aa2702716f8e4cffc62d9d07,4500000000000000000000000
0xfbc3f33af3dd99d709631791741eea65eddbfa50,17081136327468660203796558
0xfefa80407dded2a762429e8712bcc8ee2a0b46b3,5615765880030291051760252
